video_id,video_contains_music,video_contains_male,video_contains_female,video_contains_noise,video_contains_no_energy,segments
6891470004621954310,False,True,False,True,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 0.3}, {'label': 'male', 'start': 0.3, 'end': 2.18}, {'label': 'noEnergy', 'start': 2.18, 'end': 2.8000000000000003}, {'label': 'noise', 'start': 2.8000000000000003, 'end': 12.38}]"
6886478397845818629,True,False,False,False,True,"[{'label': 'music', 'start': 0.0, 'end': 29.98}, {'label': 'noEnergy', 'start': 29.98, 'end': 30.34}]"
6887700198265556229,False,True,False,True,False,"[{'label': 'noise', 'start': 0.0, 'end': 0.64}, {'label': 'male', 'start': 0.64, 'end': 57.06}, {'label': 'noise', 'start': 57.06, 'end': 58.32}]"
6886885677296815365,True,True,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 7.54}, {'label': 'male', 'start': 7.54, 'end': 14.14}]"
6891347021282807045,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 10.14}]"
6892083075782626562,True,True,True,False,True,"[{'label': 'female', 'start': 0.0, 'end': 3.0}, {'label': 'male', 'start': 3.0, 'end': 4.84}, {'label': 'female', 'start': 4.84, 'end': 6.26}, {'label': 'noEnergy', 'start': 6.26, 'end': 6.66}, {'label': 'female', 'start': 6.66, 'end': 8.72}, {'label': 'music', 'start': 8.72, 'end': 10.46}, {'label': 'male', 'start': 10.46, 'end': 11.96}, {'label': 'music', 'start': 11.96, 'end': 13.38}]"
6892815303001066754,False,True,False,False,False,"[{'label': 'male', 'start': 0.0, 'end': 9.200000000000001}]"
6891719019334864133,True,False,True,False,True,"[{'label': 'music', 'start': 0.0, 'end': 5.98}, {'label': 'female', 'start': 5.98, 'end': 7.24}, {'label': 'noEnergy', 'start': 7.24, 'end': 8.46}, {'label': 'music', 'start': 8.46, 'end': 11.82}]"
6892480175813053701,False,True,True,False,True,"[{'label': 'female', 'start': 0.0, 'end': 4.5600000000000005}, {'label': 'noEnergy', 'start': 4.5600000000000005, 'end': 5.54}, {'label': 'female', 'start': 5.54, 'end': 7.0}, {'label': 'noEnergy', 'start': 7.0, 'end': 7.44}, {'label': 'female', 'start': 7.44, 'end': 9.52}, {'label': 'male', 'start': 9.52, 'end': 16.2}]"
6892484151673490694,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 10.06}]"
6888901921537592581,False,False,True,True,False,"[{'label': 'female', 'start': 0.0, 'end': 10.88}, {'label': 'noise', 'start': 10.88, 'end': 14.0}, {'label': 'female', 'start': 14.0, 'end': 19.080000000000002}, {'label': 'noise', 'start': 19.080000000000002, 'end': 34.44}]"
6892595652769877249,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 25.78}]"
6880581943793126661,True,False,False,False,False,"[{'label': 'music', 'start': 0.0, 'end': 8.22}]"
6892790014908910850,True,True,True,True,True,"[{'label': 'noEnergy', 'start': 0.0, 'end': 1.82}, {'label': 'female', 'start': 1.82, 'end': 4.1}, {'label': 'male', 'start': 4.1, 'end': 6.0600000000000005}, {'label': 'noEnergy', 'start': 6.0600000000000005, 'end': 7.8}, {'label': 'noise', 'start': 7.8, 'end': 10.18}, {'label': 'male', 'start': 10.18, 'end': 14.120000000000001}, {'label': 'music', 'start': 14.120000000000001, 'end': 17.400000000000002}, {'label': 'noEnergy', 'start': 17.400000000000002, 'end': 18.22}, {'label': 'male', 'start': 18.22, 'end': 19.36}, {'label': 'noEnergy', 'start': 19.36, 'end': 19.82}, {'label': 'male', 'start': 19.82, 'end': 25.740000000000002}, {'label': 'noEnergy', 'start': 25.740000000000002, 'end': 26.6}, {'label': 'male', 'start': 26.6, 'end': 28.2}]"
