video_id,label,start,end
6892790014908910850,noEnergy,17.400000000000002,18.22
6892790014908910850,male,18.22,19.36
6892790014908910850,noEnergy,19.36,19.82
6892790014908910850,male,19.82,25.740000000000002
6892790014908910850,noEnergy,25.740000000000002,26.6
6892790014908910850,male,26.6,28.2
6892609541939219717,noEnergy,0.0,0.84
6892609541939219717,female,0.84,4.78
6892609541939219717,noEnergy,4.78,5.5
6892609541939219717,female,5.5,6.74
6892609541939219717,noEnergy,6.74,7.28
6892609541939219717,female,7.28,8.68
6892609541939219717,noEnergy,8.68,9.1
6892609541939219717,female,9.1,10.42
6892609541939219717,noEnergy,10.42,11.52
6892609541939219717,noise,11.52,17.1
6892609541939219717,noEnergy,17.1,18.82
6892609541939219717,noise,18.82,21.98
6860315501512363270,female,0.0,0.38
6860315501512363270,noEnergy,0.38,1.8
6860315501512363270,female,1.8,3.48
6860315501512363270,noEnergy,3.48,4.14
6860315501512363270,female,4.14,50.14
6860315501512363270,male,50.14,54.480000000000004
6860315501512363270,noEnergy,54.480000000000004,54.9
6860315501512363270,female,54.9,58.980000000000004
6887296753234693382,female,0.0,6.68
6887296753234693382,noise,6.68,9.620000000000001
6887296753234693382,noEnergy,9.620000000000001,10.040000000000001
6892516002802699521,music,0.0,21.22
6892516002802699521,noEnergy,21.22,21.46
6891304284583939334,music,0.0,4.0200000000000005
6891304284583939334,female,4.0200000000000005,9.36
6891401198360988934,music,0.0,9.24
6891736016219098374,female,0.0,8.16
6891736016219098374,male,8.16,13.82
6891736016219098374,noise,13.82,15.84
6891736016219098374,female,15.84,17.42
6891736016219098374,male,17.42,26.34
6891736016219098374,female,26.34,34.84
6891736016219098374,male,34.84,41.84
6891736016219098374,female,41.84,47.06
6891736016219098374,male,47.06,51.24
6891736016219098374,female,51.24,57.56
6891736016219098374,male,57.56,58.980000000000004
6889128763418873093,female,0.0,27.02
6883637079125921029,noEnergy,0.0,0.54
6883637079125921029,female,0.54,11.0
6891825751620947206,female,0.0,2.3000000000000003
6891825751620947206,male,2.3000000000000003,5.08
6891825751620947206,noEnergy,5.08,5.54
6891825751620947206,male,5.54,13.120000000000001
6893213082131238150,music,0.0,10.44
6893213082131238150,noise,10.44,14.08
6893213082131238150,music,14.08,40.46
6893213082131238150,noEnergy,40.46,41.4
6904256502270315781,female,0.0,0.24
6904256502270315781,noEnergy,0.24,0.64
6904256502270315781,noise,0.64,5.26
6904256502270315781,noEnergy,5.26,5.8
6904256502270315781,noise,5.8,8.5
6904256502270315781,music,8.5,18.2
6904256502270315781,male,18.2,24.54
6904256502270315781,female,24.54,38.660000000000004
6904256502270315781,music,38.660000000000004,52.5
6904256502270315781,female,52.5,59.06
6890248829766012166,male,0.0,28.98
6876841174863334662,music,0.0,4.7
6876841174863334662,male,4.7,6.42
6876841174863334662,music,6.42,18.900000000000002
6885915066810518789,noEnergy,0.0,0.34
6885915066810518789,female,0.34,4.98
6885915066810518789,noEnergy,4.98,5.9
6885915066810518789,female,5.9,12.02
6885915066810518789,noEnergy,12.02,12.66
6885915066810518789,female,12.66,17.42
6885915066810518789,noEnergy,17.42,18.34
6885915066810518789,female,18.34,24.86
6885915066810518789,noEnergy,24.86,26.02
6885915066810518789,female,26.02,28.3
6885915066810518789,noEnergy,28.3,28.900000000000002
6885915066810518789,female,28.900000000000002,30.34
6885915066810518789,noEnergy,30.34,32.980000000000004
6870590381558385925,noise,0.0,1.68
6870590381558385925,male,1.68,16.5
6870590381558385925,female,16.5,24.38
6894341527045213445,music,0.0,28.7
6894341527045213445,noEnergy,28.7,29.080000000000002
6891823156907101445,music,0.0,5.82
6891823156907101445,female,5.82,7.1000000000000005
6891823156907101445,noEnergy,7.1000000000000005,8.44
6891823156907101445,music,8.44,18.28
6889936703138712838,music,0.0,8.120000000000001
6882114438506302726,music,0.0,9.08
6891095447717301510,music,0.0,8.58
6891095447717301510,noEnergy,8.58,8.8
6891860808167410950,male,0.0,1.02
6891860808167410950,female,1.02,7.8
6891860808167410950,noEnergy,7.8,8.68
6891860808167410950,female,8.68,16.48
6891860808167410950,noEnergy,16.48,17.92
6891860808167410950,female,17.92,21.1
6891860808167410950,noEnergy,21.1,22.06
6891860808167410950,female,22.06,24.82
6891860808167410950,male,24.82,28.44
6891860808167410950,female,28.44,58.980000000000004
6891625792485346565,music,0.0,12.48
6892271062919286018,music,0.0,6.32
6892271062919286018,female,6.32,16.4
6883551124494814469,noise,0.0,1.32
6883551124494814469,male,1.32,10.14
6883551124494814469,noise,10.14,18.0
6892143177491352838,noEnergy,0.0,0.4
6892143177491352838,male,0.4,10.0
6879994571397336325,music,0.0,32.96
6869522162890444037,female,0.0,10.46
6869522162890444037,noEnergy,10.46,10.88
6869522162890444037,female,10.88,12.8
6869829045752810758,music,0.0,32.96
6887008734497803526,music,0.0,10.1
6860914703942569222,noEnergy,0.0,0.4
6860914703942569222,female,0.4,7.24
6860914703942569222,noEnergy,7.24,8.08
6860914703942569222,female,8.08,9.96
6860914703942569222,noEnergy,9.96,10.58
6860914703942569222,male,10.58,11.72
6860914703942569222,female,11.72,15.34
6860914703942569222,noEnergy,15.34,16.1
6860914703942569222,female,16.1,20.34
6860914703942569222,male,20.34,22.3
6860914703942569222,female,22.3,27.18
6860914703942569222,noEnergy,27.18,27.66
6860914703942569222,female,27.66,30.7
6860914703942569222,male,30.7,39.24
6860914703942569222,female,39.24,43.28
6860914703942569222,noEnergy,43.28,44.18
6860914703942569222,female,44.18,49.800000000000004
6860914703942569222,noEnergy,49.800000000000004,50.22
6860914703942569222,female,50.22,59.06
6891396103963413766,noise,0.0,7.28
6891396103963413766,music,7.28,13.040000000000001
6891396103963413766,noise,13.040000000000001,18.080000000000002
6891396103963413766,music,18.080000000000002,23.080000000000002
6891396103963413766,noise,23.080000000000002,47.4
6891051620038184197,music,0.0,10.0
6891051620038184197,noEnergy,10.0,10.74
6895132001108610309,female,0.0,58.980000000000004
6891459493087988997,male,0.0,10.26
6891459493087988997,noise,10.26,13.02
6891459493087988997,noEnergy,13.02,13.64
6891459493087988997,noise,13.64,16.2
6891459493087988997,music,16.2,22.22
6891459493087988997,noEnergy,22.22,22.94
6891459493087988997,noise,22.94,27.54
6891459493087988997,noEnergy,27.54,28.2
6891459493087988997,noise,28.2,28.82
6891459493087988997,noEnergy,28.82,30.240000000000002
6891459493087988997,female,30.240000000000002,31.0
6892471419238731013,music,0.0,10.22
6894964781652970758,female,0.0,55.68
6894964781652970758,noEnergy,55.68,56.68
6892438926267649285,noEnergy,0.0,0.44
6892438926267649285,female,0.44,25.3
